,ltp odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-10 12:07:05,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:10,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:15,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:20,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:25,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:30,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:35,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:40,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:45,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:50,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:07:55,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:00,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:05,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:10,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:15,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:20,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:25,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:30,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:35,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:40,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-10 12:08:45,0.8672150411280847,0.013529688191916835,0.4814994618239566,0.08998570303658848,0.5006618169188118,0.5387526011503427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
